123	428	17	19.24
213	1096	3	5.74
278	2191	3	11.45
28220	14	3	5.99
245	3684	12	90.54
1377	7951	8	100.23
104	16886	5	22.73
242	200	16	28.82
151	2502	7	27.68
1359	179	4	9.38
244	970	4	9.69
101	20486	4	11.08
1358	800	3	15.15
125	3018	6	18.01
71068	71126	3	92.23
1294	12	61	27.96
1384	152	15	62.71
2398	150	4	11.21
1980	33310	3	47.1
164	8528	3	17.46
397	2105	4	20.48
210	7030	3	18.2
1096	833	3	14.01
1606	391	3	11.78
10938	2987	21	370.76
4422	5007	3	36.01
521	708	5	19.31
5048	943	3	25.37
3340	527	3	18.71
799	31357	4	56.91
1266	105	12	5.68
159	3640	5	22.37
424	20549	4	45.94
130	3124	5	14.73
13931	5395	3	45.87
4438	5340	4	51.12
665	1336	5	28.3
7980	111	3	8.18
1175	1929	19	195.13
1455	8361	6	72.89
102	1969	23	22.43
193	723	11	35.08
2638	2030	6	59.13
2224	327	14	101.71
1055	862	13	98.11
511	313	18	81.57
5967	202	6	41.35
8913	642	3	27.66
101	4258	14	17.38
4462	32642	7	142.91
7025	119	3	10.2
38181	14	4	14.01
4565	14	36	68.44
128	7589	3	11.95
961	288	3	6.65
112	9408	4	14.93
6576	316	17	177.43
1735	11901	3	36.13
352	2890	9	64.75
19130	39102	5	121.93
63407	13483	3	72.73
389	2861	3	15.61
8363	32459	3	58.14
187	7873	6	44.31
1405	758	3	14.95
12	7078	17	27.4
1436	12	37	4.04
11885	105	3	7.8
2319	175	6	24.69
101	2492	67	192.91
374	10959	3	25.82
224	475	8	17.85
1846	1571	6	50.43
15779	328	4	39.87
4718	2343	5	56.49
103	1510	54	130.35
24194	102	4	15.45
192	998	3	4.44
11501	5275	3	44
12	393	135	10.92
102	23493	3	9.25
425	1267	3	10.86
394	4118	3	18.37
4061	135	4	13.87
101	22315	3	7.33
123	643	10	10.05
22168	103	9	55.83
40476	17343	3	66.69
1720	16248	12	195.36
652	113	11	6.85
1165	2274	3	20.73
3303	107	152	1283.13
750	288	4	9.12
8640	2806	7	98.56
1357	21	8	22.9
273	1697	3	9.65
12	35347	3	8.55
15259	185	5	44.67
38234	14	3	8.31
71399	105	3	27.81
1800	1106	3	18.71
4288	14	18	11.36
11325	8	4	14.52
14459	30488	3	61.94
9337	101	7	12.71
107	10246	3	7.74
23471	1345	5	73.78
934	744	3	12.41
505	12682	4	41.09
121	4784	3	7.68
489	901	3	9.78
1029	218	4	9.24
2083	270	5	23.17
24013	34241	5	120.7
1163	6003	22	298.77
126	1689	5	7.61
14333	121	3	16.08
180	129	101	255.44
14687	14	5	5.64
1776	16714	14	237.07
246	1063	5	15.07
13658	105	3	9.03
13183	375	3	27.45
7870	12	8	5.28
1804	1300	10	90.04
4298	4361	22	348.64
101	5655	12	19
103	4415	7	8.06
2965	14	40	44.54
101	7268	7	8.53
3983	101	11	8.56
664	6905	5	48.06
1374	243	5	17.57
11378	12	8	11.26
452	1772	6	34.66
187	2908	3	10.39
12	3670	18	8.09
251	1108	7	26.53
14876	19874	3	57.79
9770	108	4	12.89
760	188	4	5.81
114	12725	3	13.71
6859	613	7	71.01
161	774	5	7.03
193	2113	3	8.71
1202	165	5	11.41
492	37710	7	114.36
12	2061	36	16.05
144	15932	3	20.58
383	4186	4	26.76
9159	245	6	51.28
251	1993	3	10.19
104	2961	7	6.72
102	2220	14	7.29
6792	8	4	9.3
724	200	4	6.15
116	14180	5	30.59
12	51658	4	23.57
630	268	30	170.72
12783	32486	4	85.47
127	827	7	6.65
4398	114	3	5.91
158	1735	3	5.64
603	674	9	47.13
763	2191	8	63.49
223	7441	4	27.67
353	3176	5	31.38
958	2970	3	21.4
